device=cpu params=109 m=4 lr=0.003
ep 120/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 121/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 122/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 123/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 124/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 125/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 126/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 127/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 128/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 129/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 130/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 131/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 132/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 133/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 134/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 135/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 136/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 137/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 138/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 139/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 140/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 141/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 142/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 143/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 144/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 145/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 146/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 147/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 148/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 149/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 150/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
